asin,product_title,product_price,product_original_price,product_star_rating,product_num_ratings,is_amazon_choice,is_best_seller,sales_volume,discount,brand,product_url,date,week,unit_price,sub_category_name,rank,product_photo
B0DQVHZWBN,"Tallow and Honey Balm for Face, Beef Tallow for Skin, Moisturizer with 100% Organic Grass-Fed Beef Tallow & Raw Wild Honey - Natural Formula for Dry & Sensitive Skin (Unscented)",19.99,23.99,4.3,1041,FALSE,FALSE,6K+ bought in past month,16.67,MONIER,https://www.amazon.com/dp/B0DQVHZWBN,2025-09-15,38,$10.00,Face Moisturizers,135,
B0DT44BCPM,"Beef Tallow for Skin, Beef Tallow for Face, Hydrating Tallow Balm with Raw Honey and Beeswax, Grass-Fed Beef Tallow & Raw Wild Honey Blend, Body & Face Moisturizer, Natural Formula, Light Scent",19.88,19.88,4.7,1106,FALSE,FALSE,7K+ bought in past month,,TKTALKER,https://www.amazon.com/dp/B0DT44BCPM,2025-09-15,38,$4.73,Face Moisturizers,81,
B0D2DVJVS9,"Santa Cruz Paleo Beef Tallow for Skin, Grass Finished & Grass Fed Beef Tallow and Honey Balm Body & Face Moisturizer, Organic Beeswax and Organic Honey, Light Scent, Moisturizing Natural Formula, 2 Oz",17.99,17.99,4.5,905,TRUE,FALSE,9K+ bought in past month,,Santa Cruz Paleo,https://www.amazon.com/dp/B0D2DVJVS9,2025-09-15,38,$17.99,Body Lotions,57,
B0FFPMJKVC,"Organic Grass-Fed Beef Tallow Balm with Raw Honey - Moisturizing Cream for Soft, Smooth Skin - Handmade All-Natural Moisturizer (4oz, Unscented)",34.99,34.99,4.4,138,FALSE,FALSE,3K+ bought in past month,,Terra Lotus,https://www.amazon.com/dp/B0FFPMJKVC,2025-09-15,38,$8.75,Face Moisturizers,104,
B0DR1LPBZB,"Beef Tallow for Skin, Grass-Fed Tallow Face Cream with Hyaluronic Acid, Aloe Vera & Frankincense, Non-Greasy Anti-Aging Moisturizer, Citrus Scent, 2 oz",23.99,34.99,4.5,649,FALSE,FALSE,2K+ bought in past month,31.44,LA PURE,https://www.amazon.com/dp/B0DR1LPBZB,2025-09-15,38,$12.00,Face Moisturizers,267,
B0DSLK2Y3R,"Beef Tallow for Skin, Tallow and Honey Balm, Facial Moisturizer Cream, 100% Organic Grass Fed Whipped Beef Tallow Balm Deeply Moisturizing for Face & Body, Suitable For All Skin Types(3.53oz)",8.49,13.99,4.3,598,FALSE,FALSE,5K+ bought in past month,39.31,Oebitor,https://www.amazon.com/dp/B0DSLK2Y3R,2025-09-15,38,$2.41,Body Creams,28,
B0DGVP5LDS,"Beef Tallow for Skin - Moisturizer Cream - 100% Grass Fed - Whipped Beef Tallow - Organic Jojoba Oil - Organic Shea Butter - Supports Eczema, Rosacea+ - Made in USA - Citrus Breeze - 2 oz",19.87,29.97,4.7,1298,FALSE,FALSE,6K+ bought in past month,33.7,Meadow Bliss,https://www.amazon.com/dp/B0DGVP5LDS,2025-09-15,38,$9.94,Body Scrubs & Treatments,15,
B0F28RBQQB,"Beef Tallow for Skin, Tallow and Honey Balm for Face - 100% Organic Grass-Fed Beef Tallow & Raw Wild Honey - Moisturizing Cream for Soft, Smooth Skin- Light Scent, Moisturizing Natural Formula, 4.2 Oz",16.99,16.99,2.6,22,FALSE,FALSE,1K+ bought in past month,,VIOFAIRY,https://www.amazon.com/dp/B0F28RBQQB,2025-09-15,38,$4.05,Face Moisturizers,467,
B0DTQ8FGQX,"Beef Tallow for Skin – Whipped Tallow and Honey Balm with Grass-Fed Beef Tallow – Organic Daily Tallow Face Moisturizer & Body Balm – Deep Nourishment for Dry, Cracked, Sensitive Skin - 4.3 OZ",14.97,26.49,4.5,607,FALSE,FALSE,3K+ bought in past month,43.49,RICHGRAND,https://www.amazon.com/dp/B0DTQ8FGQX,2025-09-15,38,$3.48,Body Lotions,91,
B0F2GVFVVV,"Beef Tallow Honey Balm for Skin: 100% Grass Fed Whipped Organic Moisturizer with Organic Raw Honey, Jojoba Oil, Vitamin E – Natural Face and Body Care for Mature, Dry or Sensitive Skin, 2oz",11.97,16.98,4.6,319,FALSE,FALSE,3K+ bought in past month,29.51,HealthyDerm,https://www.amazon.com/dp/B0F2GVFVVV,2025-09-15,38,$5.99,Face Moisturizers,165,
B0DQVHZWBN,"Tallow and Honey Balm for Face, Beef Tallow for Skin, Moisturizer with 100% Organic Grass-Fed Beef Tallow & Raw Wild Honey - Natural Formula for Dry & Sensitive Skin (Unscented)",19.99,23.99,4.3,1016,FALSE,FALSE,5K+ bought in past month,16.67,MONIER,https://www.amazon.com/dp/B0DQVHZWBN,2025-09-18,38,$10.00,Face Moisturizers,149,
B0DT44BCPM,"Beef Tallow for Skin, Beef Tallow for Face, Hydrating Tallow Balm with Raw Honey and Beeswax, Grass-Fed Beef Tallow & Raw Wild Honey Blend, Body & Face Moisturizer, Natural Formula, Light Scent",19.88,19.88,4.7,1098,FALSE,FALSE,7K+ bought in past month,,TKTALKER,https://www.amazon.com/dp/B0DT44BCPM,2025-09-18,38,$4.73,Face Moisturizers,72,
B0D2DVJVS9,"Santa Cruz Paleo Beef Tallow for Skin, Grass Finished & Grass Fed Beef Tallow and Honey Balm Body & Face Moisturizer, Organic Beeswax and Organic Honey, Light Scent, Moisturizing Natural Formula, 2 Oz",17.99,17.99,4.5,912,TRUE,FALSE,9K+ bought in past month,,Santa Cruz Paleo,https://www.amazon.com/dp/B0D2DVJVS9,2025-09-18,38,$17.99,Body Lotions,55,
B0FFPMJKVC,"Organic Grass-Fed Beef Tallow Balm with Raw Honey - Moisturizing Cream for Soft, Smooth Skin - Handmade All-Natural Moisturizer (4oz, Unscented)",34.99,34.99,4.4,147,FALSE,FALSE,3K+ bought in past month,,Terra Lotus,https://www.amazon.com/dp/B0FFPMJKVC,2025-09-18,38,$8.75,Face Moisturizers,129,
B0DR1LPBZB,"Beef Tallow for Skin, Grass-Fed Tallow Face Cream with Hyaluronic Acid, Aloe Vera & Frankincense, Non-Greasy Anti-Aging Moisturizer, Citrus Scent, 2 oz",25.99,34.99,4.5,658,FALSE,FALSE,2K+ bought in past month,25.72,LA PURE,https://www.amazon.com/dp/B0DR1LPBZB,2025-09-18,38,$13.00,Face Moisturizers,296,
B0DSLK2Y3R,"Beef Tallow for Skin, Tallow and Honey Balm, Facial Moisturizer Cream, 100% Organic Grass Fed Whipped Beef Tallow Balm Deeply Moisturizing for Face & Body, Suitable For All Skin Types(3.53oz)",8.49,13.99,4.3,574,FALSE,FALSE,6K+ bought in past month,39.31,Oebitor,https://www.amazon.com/dp/B0DSLK2Y3R,2025-09-18,38,$2.41,Body Creams,26,
B0DGVP5LDS,"Beef Tallow for Skin - Moisturizer Cream - 100% Grass Fed - Whipped Beef Tallow - Organic Jojoba Oil - Organic Shea Butter - Supports Eczema, Rosacea+ - Made in USA - Citrus Breeze - 2 oz",19.87,29.97,4.7,1157,FALSE,FALSE,6K+ bought in past month,33.7,Meadow Bliss,https://www.amazon.com/dp/B0DGVP5LDS,2025-09-18,38,$9.94,Body Scrubs & Treatments,17,
B0F28RBQQB,"Beef Tallow for Skin, Tallow and Honey Balm for Face - 100% Organic Grass-Fed Beef Tallow & Raw Wild Honey - Moisturizing Cream for Soft, Smooth Skin- Light Scent, Moisturizing Natural Formula, 4.2 Oz",16.99,16.99,1.8,17,FALSE,FALSE,1K+ bought in past month,,VIOFAIRY,https://www.amazon.com/dp/B0F28RBQQB,2025-09-18,38,$4.05,Face Moisturizers,731,
B0DTQ8FGQX,"Beef Tallow for Skin – Whipped Tallow and Honey Balm with Grass-Fed Beef Tallow – Organic Daily Tallow Face Moisturizer & Body Balm – Deep Nourishment for Dry, Cracked, Sensitive Skin - 4.3 OZ",19.99,26.49,4.5,618,FALSE,FALSE,3K+ bought in past month,24.54,RICHGRAND,https://www.amazon.com/dp/B0DTQ8FGQX,2025-09-18,38,$4.65,Body Lotions,99,
B0F2GVFVVV,"Beef Tallow Honey Balm for Skin: 100% Grass Fed Whipped Organic Moisturizer with Organic Raw Honey, Jojoba Oil, Vitamin E – Natural Face and Body Care for Mature, Dry or Sensitive Skin, 2oz",16.98,16.98,4.6,322,FALSE,FALSE,3K+ bought in past month,,HealthyDerm,https://www.amazon.com/dp/B0F2GVFVVV,2025-09-18,38,$8.49,Face Moisturizers,189,
B0DQVHZWBN,"Tallow and Honey Balm for Face, Beef Tallow for Skin, Moisturizer with 100% Organic Grass-Fed Beef Tallow & Raw Wild Honey - Natural Formula for Dry & Sensitive Skin (Unscented)",19.99,23.99,4.3,1018,FALSE,FALSE,5K+ bought in past month,16.67,MONIER,https://www.amazon.com/dp/B0DQVHZWBN,2025-09-19,38,$10.00,Face Moisturizers,156,
